X,Y,OBJECTID,vendor_number,name,dba,address_1,address_2,address_city,address_state,address_zip,start_date,exp_date,entity,business_type,cbe_mbe,cbe_wbe,cbe_dbe,dvbe,in_lac,sup_dist,spa
6473592.44967622,1759260.3833309,11,169784,"ALLCITY DEPUTY INSPECTIONS, INC.",,22122 S VERMONT AVE,#C,TORRANCE,CA,90502,2020/03/06 00:00:00+00,2022/03/06 00:00:00+00,Corporation,Contractors / Construction,Yes,Yes,No,No,Yes,District 2,SPA 8 - South Bay
6470441.10132013,1884280.80258089,12,161367,MEGA HZ ELECTRIC INC,MEGAHERTZ ELECTRIC SIGNS LIGHTING,112 WEST ELM COURT,,BURBANK,CA,91502,2020/08/28 00:00:00+00,2022/08/31 00:00:00+00,Corporation,Retail,Yes,No,No,No,Yes,District 5,SPA 2 - San Fernando
6561166.59178481,1875409.59460156,13,171211,QUEST PROJECT CONTROLS INC,CONSTRUCTION MANAGEMENT SOLUTIONS,114 W COLORADO BLVD,,MONROVIA,CA,91016,2021/06/29 00:00:00+00,2023/06/30 00:00:00+00,Corporation,Services,No,Yes,Yes,No,Yes,District 5,SPA 3 - San Gabriel
6457538.15665364,1847010.98768498,14,160386,"CALIFORNIA TECHNOLOGY SERVICES, INC.",,360 S LA BREA AVE,# 9,LOS ANGELES,CA,90036-3526,2019/10/17 00:00:00+00,2021/10/17 00:00:00+00,Corporation,Contractors / Construction,No,Yes,No,No,Yes,District 2,SPA 4 - Metro
6532126.87952314,1776016.59456906,15,173225,ADVANCED TECHNOLOGY LABORATORIES INC,ASSET LABORATORIES,"11110 ARTESIA BLVD, STE B",,CERRITOS,CA,90703,2019/10/12 00:00:00+00,2021/10/01 00:00:00+00,Corporation,Services,Yes,Yes,Yes,No,Yes,District 4,SPA 7 - East
6551884.48994222,1809555.33293764,16,199432,MICHELLE YANEZ WORKFORCE SOLUTIONS,DBA MY WORKFORCE SOLUTIONS,13408 VALNA DR APT D,,WHITTIER,CA,90602-3776,2021/05/05 00:00:00+00,2023/05/31 00:00:00+00,,,Yes,Yes,No,No,Yes,District 4,SPA 7 - East
6431757.77383131,1892734.25680256,17,56872,ADAPT CONSULTING INC,ADAPT AD SPECIALTY,13618 LEMAY STREET,,VAN NUYS,CA,91401-1114,2021/05/03 00:00:00+00,2023/03/31 00:00:00+00,Corporation,Services,No,Yes,No,No,Yes,District 3,SPA 2 - San Fernando
6520120.37039971,1876389.87184048,18,119437,CORPORATE SPACES INC,CSI FULLMER,131 N EL MOLINO AVENUE STE 170,,PASADENA,CA,91101,2020/09/01 00:00:00+00,2022/08/31 00:00:00+00,,,No,No,No,Yes,Yes,District 5,SPA 3 - San Gabriel
6511834.0211588,1789261.57628115,19,199887,CHRISTI JENNINGS,THE POWER LEGACY LLC,13919 ARTHUR AVE APT 3,,PARAMOUNT,CA,90723-6001,2020/12/24 00:00:00+00,2022/12/31 00:00:00+00,Limited Liability Company,Services,Yes,No,No,No,Yes,District 4,SPA 6 - South
6420741.43661205,1878590.69617897,20,131692,MORGNER TECHNOLOGY MANAGEMENT,MORGNER CONSTRUCTION MANAGEMENT,"15260 VENTURA BLVD., SUITE 1080",,SHERMAN OAKS,CA,91403,2021/05/11 00:00:00+00,2023/05/31 00:00:00+00,Corporation,Services,Yes,Yes,Yes,No,Yes,District 3,SPA 2 - San Fernando
6563924.81494288,1826358.75963256,21,181887,LETICIA LEON YU,STREAMLINE PARTS,1605 DOVERFIELD AVENUE,,HACIENDA HEIGHTS,CA,91745,2021/02/13 00:00:00+00,2023/01/31 00:00:00+00,Sole Proprietorships,Contractors / Construction,Yes,Yes,No,No,Yes,District 1,SPA 3 - San Gabriel
6466299.06990606,1721800.62491722,22,166990,ALBERT HOLGUIN,WORLD WIDE CONSTRUCTION,1621 W 25TH STREET #266,,SAN PEDRO,CA,90732,2020/09/19 00:00:00+00,2022/08/31 00:00:00+00,Sole Proprietorships,Contractors / Construction,Yes,No,No,No,Yes,District 4,SPA 8 - South Bay
6546609.93913963,1782799.2870404,23,184386,PHILATRON INTERNATIONAL INC,PHILATRON WIRE & CABLE,15315 CORNET AVENUE,,SANTA FE SPRINGS,CA,90670,2019/07/24 00:00:00+00,2022/06/17 00:00:00+00,,,No,No,No,Yes,Yes,District 4,SPA 7 - East
6612184.75221547,1867617.6820358,24,108971,SANJAY PANDYA,AMERICAN UTILITY PRODUCTS,1557 CANYON MEADOWS LN,,GLENDORA,CA,91740-4588,2019/10/04 00:00:00+00,2021/10/04 00:00:00+00,Sole Proprietorships,Services,Yes,No,Yes,No,Yes,District 5,SPA 3 - San Gabriel
6468447.96947964,1823919.74777831,25,108577,Z VENTURE CAPITAL FRONTIERS,THE ZAMAN GROUP,1625 W VERNON AVENUE,,LOS ANGELES,CA,90062,2020/10/02 00:00:00+00,2022/10/31 00:00:00+00,Corporation,Services,Yes,No,Yes,No,Yes,District 2,SPA 6 - South
6589549.59341763,1855049.72226365,26,166532,KNIGHTSBRIDGE INDUSTRIES INC.,,527 N. AZUSA AVE,133,COVINA,CA,91722,2019/07/30 00:00:00+00,2021/07/30 00:00:00+00,Corporation,Services,Yes,No,No,No,Yes,District 1,SPA 3 - San Gabriel
6479692.40171513,1828500.80587339,27,185599,NTS COMMUNICATIONS,BIG HOUSE PRINTING AND PROMOTIONS,180 E 35TH ST,,LOS ANGELES,CA,90011-2315,2021/01/19 00:00:00+00,2023/01/31 00:00:00+00,Partnerships,Services,Yes,No,Yes,No,Yes,District 2,SPA 6 - South
6421539.88153747,1837314.08680323,28,100446,TRANSLATING SERVICES INC,LAZAR TRANSLATING & INTERPRETING,"1516 S. BUNDY DR., STE. 311",,LOS ANGELES,CA,90025-2681,2020/05/07 00:00:00+00,2022/05/07 00:00:00+00,Sole Proprietorships,Services,No,Yes,Yes,No,Yes,District 3,SPA 5 - West
6483636.65563764,1867304.15247914,29,109909,KEEFE BUSINESS SERVICES INC,ECONOMY OFFICE SUPPLY COMPANY,1725 GARDENA AVE.,,GLENDALE,CA,91204-2943,2021/07/03 00:00:00+00,2023/07/31 00:00:00+00,Corporation,Housing & Lodging,No,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6445416.3390338,1796420.94549257,30,201043,THINKLOGIC INC,,855 N DOUGLAS ST,# 2,EL SEGUNDO,CA,90245-2801,2021/06/18 00:00:00+00,2023/06/30 00:00:00+00,,,No,No,No,Yes,Yes,District 2,SPA 8 - South Bay
6466043.46772698,1815227.24843106,31,198393,AMANDA B PALASIK,M/PAL - CREATIVE STUDIO OF MANDY PALASIK,2057 W 65TH ST,,LOS ANGELES,CA,90047-1710,2021/07/09 00:00:00+00,2023/07/31 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 2,SPA 6 - South
6470015.82100272,1836989.04906748,32,187445,CRUZ M URIBE,AIRMAN SUPPLY COMPANY,1972 W WASHINGTON BLVD,,LOS ANGELES,CA,90018-1651,2020/08/01 00:00:00+00,2022/05/31 00:00:00+00,,,No,No,No,Yes,Yes,District 2,SPA 6 - South
6384115.30645239,1903003.97838905,33,200516,MARIA CRISTINA ORTIZ,FOOD JOY CATERING EVENTS,20823 ROSCOE BLVD STE D,,WINNETKA,CA,91306-2087,2021/03/05 00:00:00+00,2023/03/31 00:00:00+00,Sole Proprietorships,Food Service,No,Yes,No,No,Yes,District 3,SPA 2 - San Fernando
6473383.57312547,1838169.22026356,34,103125,SHILPARK PAINT COMPANY,SMITH PAINT,1640 S VERMONT AVE,,LOS ANGELES,CA,90006-4522,2019/08/13 00:00:00+00,2021/08/13 00:00:00+00,Sole Proprietorships,Manufacturing,Yes,Yes,No,No,Yes,District 1,SPA 4 - Metro
6517629.88981639,1877144.38837606,35,130398,MASBUILD INC,MASBUILD AEC INC,221 E WALNUT ST STE 234,,PASADENA,CA,91101,2020/08/04 00:00:00+00,2022/10/24 00:00:00+00,Corporation,Services,Yes,Yes,Yes,No,Yes,District 5,SPA 3 - San Gabriel
6478607.63518389,1847320.1281428,36,116355,"ELIZABETH M KESSEL, INC.",KESSEL & ASSOCIATES,2410 BEVERLY BOULVARD,,LOS ANGELES,CA,90057,2020/02/19 00:00:00+00,2022/02/19 00:00:00+00,Corporation,Services,No,Yes,No,No,Yes,District 1,SPA 4 - Metro
6618800.44173998,1828767.65704572,37,103291,CALIFORNIA INTEGRATED SOLUTIONS INC,"CIS, INC.","23341 GOLDEN SPRINGS DRIVE, SUITE 102",,DIAMOND BAR,CA,91765,2020/01/09 00:00:00+00,2022/01/02 00:00:00+00,Corporation,Services,Yes,No,No,No,Yes,District 1,SPA 3 - San Gabriel
6401083.00086339,1957768.11295506,38,165423,MARIA GUTZEIT,COMPLIANCE PLUS,24463 SHADELAND DR,,NEWHALL,CA,91321,2019/08/02 00:00:00+00,2021/08/02 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6435349.66690996,1844295.12795922,39,52547,KH CONSULTING GROUP,MANAGEMENT CONSULTANTS,"1901 AVENUE OF THE STARS, STE. 200",,LOS ANGELES,CA,90067-6020,2021/01/26 00:00:00+00,2023/01/31 00:00:00+00,Corporation,Services,No,Yes,No,No,Yes,District 3,SPA 5 - West
6409242.01472905,1986659.74053915,40,194115,ERICA KRAMER,DBA SO PRINTABLE,21109 ALAMINOS DR,,SANTA CLARITA,CA,91350-1861,2020/01/07 00:00:00+00,2022/01/07 00:00:00+00,Corporation,Services,Yes,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6562874.64020596,1871139.38463806,41,116388,COMMODORE PRINTING CO,LYNCH SIGN CO,258 E. POMONA AVE.,,MONROVIA,CA,91016-4640,2020/03/16 00:00:00+00,2022/03/16 00:00:00+00,,,Yes,Yes,No,No,Yes,District 5,SPA 3 - San Gabriel
6470182.11660188,1743339.89023755,42,188661,LOUISE BERNARD LLC,PROPER RESPONSE,26339 PINES ESTATES DR,,HARBOR CITY,CA,90710-3847,2020/05/07 00:00:00+00,2022/05/06 00:00:00+00,,,Yes,Yes,No,No,Yes,District 4,SPA 8 - South Bay
6452777.28330138,1836497.45293781,43,185075,DARNELL W GROOM,BUSINESS VIDEO MASTERS,2126 S RIDGELEY DR APT 4,,LOS ANGELES,CA,90016-2050,2019/11/18 00:00:00+00,2021/11/18 00:00:00+00,,,Yes,No,Yes,No,Yes,District 2,SPA 6 - South
6492812.96077581,1841093.91651389,44,156574,MLA GREEN INC,STUDIO-MLA,251 S MISSION RD,,LOS ANGELES,CA,90033-3235,2019/10/03 00:00:00+00,2021/10/03 00:00:00+00,Corporation,Services,Yes,Yes,No,No,Yes,District 1,SPA 4 - Metro
6622645.2759138,1842384.52449697,45,180155,MAXWELLS BACKHOE INC,MBI EXCAVATION,2700 POMONA BLVD.,,POMONA,CA,91768-3222,2020/05/24 00:00:00+00,2022/04/10 00:00:00+00,Corporation,Contractors / Construction,No,Yes,No,No,Yes,District 1,SPA 3 - San Gabriel
6475331.42848171,1727818.19752772,46,118972,INTEGRATED ENGINEERING MANAGEMENT,IEM,302 W 5TH ST STE 207,,SAN PEDRO,CA,90731,2020/08/10 00:00:00+00,2022/07/31 00:00:00+00,Corporation,Services,No,Yes,Yes,No,Yes,District 4,SPA 8 - South Bay
6420079.50716163,1824772.28150631,47,173097,ROBIN O'CONNELL,ROBIN O'CONNELL DESIGN,3044 PAULA DRIVE,,SANTA MONICA,CA,90405,2020/09/18 00:00:00+00,2022/07/31 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 3,SPA 5 - West
6472810.97748588,1844935.91309498,48,43115,JENN INTERNATIONAL,PERSONNEL AGENCY,"3250 WILSHIRE BLVD., STE. 1004",,LOS ANGELES,CA,90010-1577,2020/09/18 00:00:00+00,2022/08/31 00:00:00+00,Corporation,Services,Yes,Yes,No,No,Yes,District 2,SPA 4 - Metro
6464821.13093281,1757481.75631073,49,199287,TIANY GALASKAS,AECO,2700 ARLINGTON AVE APT 107,,TORRANCE,CA,90501-4659,2020/11/05 00:00:00+00,2022/11/30 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,No,No,Yes,District 4,SPA 8 - South Bay
6486051.03893222,1906244.72256373,50,178819,SLT ENTERPRISES,TOROS LAWNMOWER GARDEN & CHAIN SAW,3238 FOOTHILL BLVD,,LA CRESCENTA,CA,91214,2021/01/06 00:00:00+00,2023/01/31 00:00:00+00,,,No,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6537889.80303663,1876818.94939439,51,149561,TSG ENTERPRISES INC,THE SOLIS GROUP,3452 E. FOOTHILL BLVD STE 200,,PASADENA,CA,91107,2020/01/29 00:00:00+00,2022/01/29 00:00:00+00,Corporation,Services,Yes,No,Yes,No,Yes,District 5,SPA 3 - San Gabriel
6600702.37524588,1853725.42373115,52,189017,PROED CONSULTING AND STAFFING,,964 E BADILLO ST,# 2027,COVINA,CA,91724-2950,2019/11/21 00:00:00+00,2021/11/21 00:00:00+00,,,Yes,Yes,No,No,Yes,District 1,SPA 3 - San Gabriel
6483027.27037346,1837966.72690214,53,150142,RICHARD A CHAVIRA,RACAIA ARCHITECTS,409 WEST OLYMPIC BLVD STE 507,,LOS ANGELES,CA,90015,2019/09/23 00:00:00+00,2021/09/23 00:00:00+00,,,Yes,No,No,No,Yes,District 1,SPA 4 - Metro
6439812.96506996,1792927.15589222,54,134795,GALVIN PRESERVATION ASSOCIATES INC,GPA CONSULTING,231 CALIFORNIA STREET,,EL SEGUNDO,CA,90245,2021/01/29 00:00:00+00,2023/01/31 00:00:00+00,Corporation,Services,No,Yes,Yes,No,Yes,District 2,SPA 8 - South Bay
6504802.21927756,1740350.16196506,55,199895,KIRK KUNIHIRO,DBA PLANET PEOPLE WASTE INSIGHTS,419 E 6TH ST APT 100,,LONG BEACH,CA,90802-1400,2021/01/19 00:00:00+00,2023/01/31 00:00:00+00,Sole Proprietorships,Services,Yes,No,No,No,Yes,District 4,SPA 8 - South Bay
6563559.1834563,1873633.34979448,56,133220,"SINHA & KEYFAUVER ENGINEERING INC, S & K ENGINEERS","INC, S & K ENGINEERS",421 E. HUNTINGTON DRIVE,,MONROVIA,CA,91016-3632,2020/02/26 00:00:00+00,2022/02/26 00:00:00+00,,,Yes,No,No,No,Yes,District 5,SPA 3 - San Gabriel
6530713.49586697,1764159.12911081,57,170136,SKYLINE SAFETY AND SUPPLY,SKYLINE SAFETY AND SUPPLY,4513 NIPOMO AVENUE,,LAKEWOOD,CA,90713,2020/07/20 00:00:00+00,2022/07/31 00:00:00+00,Sole Proprietorships,"Garment, Apparel & Textile Mfg",No,Yes,No,No,Yes,District 4,SPA 7 - East
6425512.35325131,1831290.46794498,58,522916,KAREN S. GUNN PH D,GUNN CONSULTING GROUP,2663 S CENTINELA AVE STE 504,,SANTA MONICA,CA,90405,2021/02/06 00:00:00+00,2023/01/31 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,No,No,Yes,District 3,SPA 5 - West
6458951.93499406,1845107.62567806,59,198301,NEW WORLD COSMETICS LLC,"HOLLYWOOD COSMETICS, LLC",5042 WILSHIRE BLVD NO 189,,LOS ANGELES,CA,90036-4305,2020/09/17 00:00:00+00,2021/09/01 00:00:00+00,Limited Liability Company,Manufacturing,Yes,No,No,No,Yes,District 2,SPA 4 - Metro
6470527.88986047,1841607.39416148,60,179070,PBF&E LLC,GUELAGUETZA,3014 W.  OLYMPIC BLVD,,LOS ANGELES,CA,90006,2021/02/08 00:00:00+00,2023/02/28 00:00:00+00,,,No,Yes,No,No,Yes,District 2,SPA 4 - Metro
6451793.51197498,1818149.20879447,61,184655,THE THYONNE GROUP,BEYOND STORY CONSULTING,4859 W SLAUSON AVE # 299,,LOS ANGELES,CA,90056-1290,2019/09/10 00:00:00+00,2021/09/10 00:00:00+00,Limited Liability Company,Services,Yes,Yes,Yes,No,Yes,District 2,SPA 6 - South
6454606.26684813,1807065.49211681,62,104240,DEL RICHARDSON & ASSOCIATES,INC,510 S. LA BREA AVE,,INGLEWOOD,CA,90301,2021/05/30 00:00:00+00,2023/05/31 00:00:00+00,Corporation,Services,Yes,Yes,Yes,No,Yes,District 2,SPA 8 - South Bay
6521756.15256122,1872177.23525265,63,180945,VANESSA M QUEZADA,2GONOTARY,"530 S. LAKE AVE, 164",,PASADENA,CA,91101,2021/01/31 00:00:00+00,2023/01/31 00:00:00+00,,,Yes,Yes,No,No,Yes,District 5,SPA 3 - San Gabriel
6448290.27226231,1797526.12077564,64,159004,LOGIXSERVICE INC,AMTEK COMPUTER SERVICES,5353 W IMPERIAL HWY STE 900,,LOS ANGELES,CA,90045,2021/01/29 00:00:00+00,2023/01/31 00:00:00+00,Corporation,Services,Yes,No,Yes,No,Yes,District 2,SPA 5 - West
6433316.04138406,1830241.2945184,65,200628,IBILOLA TAYBRON,ICT RESOURCES SEPULVEDA CENTER,3415 S SEPULVEDA BLVD STE 1100,,LOS ANGELES,CA,90034-7090,2021/04/20 00:00:00+00,2023/04/30 00:00:00+00,Sole Proprietorships,Wholesale,Yes,Yes,No,No,Yes,District 3,SPA 5 - West
6456207.83943239,1845168.30239397,66,148320,111 CORP,ON THE MOVE  CHERRY & MANDEL,5482 WILSHIRE BLVD #1531,,LOS ANGELES,CA,90036,2020/10/19 00:00:00+00,2022/10/31 00:00:00+00,Corporation,Services,No,Yes,No,No,Yes,District 2,SPA 4 - Metro
6511766.77096522,1851165.71100281,67,182870,TRIMS INC.,TIMBRELLO'S AUTO BODY,5513 ALHAMBRA AVE,,LOS ANGELES,CA,90032,2020/03/17 00:00:00+00,2022/03/17 00:00:00+00,,,Yes,No,Yes,No,Yes,District 1,SPA 4 - Metro
6484518.43897906,1841037.79261039,68,503346,SIMPSON & SIMPSON LLP,SIMPSON & SIMPSON CPAS,633 WEST 5TH ST STE 3320,,LOS ANGELES,CA,90071,2021/01/21 00:00:00+00,2023/07/06 00:00:00+00,Partnerships,Services,Yes,Yes,No,No,Yes,District 1,SPA 4 - Metro
6484518.43897906,1841037.79261039,69,515310,THE LAGRANT GROUP,LA GRANT COMMUNICATIONS,633 W 5TH ST FL 48,,LOS ANGELES,CA,90071-2005,2021/01/13 00:00:00+00,2022/12/31 00:00:00+00,Corporation,Services,Yes,No,No,No,Yes,District 1,SPA 4 - Metro
6438824.46704698,1810220.97825989,70,188805,JOSELYN WILKINSON,ADAAWE,6610 W 80TH PL,,LOS ANGELES,CA,90045-1401,2021/05/04 00:00:00+00,2023/05/31 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 2,SPA 5 - West
6446134.67650789,1817354.56110556,71,193384,TAWANNA WELLS,T'S TASTY TREATS & CATERING,5900 CANTERBURY DR APT A208,,CULVER CITY,CA,90230-6761,2019/12/19 00:00:00+00,2021/12/18 00:00:00+00,Corporation,Food Service,Yes,Yes,No,No,Yes,District 2,SPA 5 - West
6441653.31014255,1812876.42734531,72,184044,LELA C THOMPSON,THE SOCIETY NINETEEN GROUP,7430 ARIZONA AVE STE 29,,LOS ANGELES,CA,90045,2020/11/25 00:00:00+00,2022/11/30 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,Yes,No,Yes,District 2,SPA 5 - West
6520489.13869105,1874904.55591348,73,111181,PARTNERS IN DIVERSITY INC,ASGE MARQUETTE COMMERCIAL FINANCE,690 E. GREEN ST #101,,PASADENA,CA,91101,2020/10/04 00:00:00+00,2022/12/31 00:00:00+00,Corporation,Services,No,Yes,Yes,No,Yes,District 5,SPA 3 - San Gabriel
6512929.86673614,1741016.9985579,74,181312,FAYZA LLC,FAYCAL FERHAT SOLE MBR,747 OHIO AV,,LONG BEACH,CA,90804,2019/12/22 00:00:00+00,2022/09/30 00:00:00+00,,,No,No,No,Yes,Yes,District 4,SPA 8 - South Bay
6561282.82678856,1874792.10436673,75,60682,CONVERSE PROFESSIONAL GROUP,CONVERSE CONSULTANTS,717 S MYRTLE AVENUE,,MONROVIA,CA,91016,2020/08/10 00:00:00+00,2022/08/31 00:00:00+00,,,Yes,No,No,No,Yes,District 5,SPA 3 - San Gabriel
6454227.83486222,1813075.10969073,76,196234,VANESSA RIVERA,DBA ARTSY KIDSS,810 EDGEWOOD ST UNIT 304,,INGLEWOOD,CA,90302-5500,2020/07/08 00:00:00+00,2022/07/31 00:00:00+00,,,Yes,Yes,No,No,Yes,District 2,SPA 8 - South Bay
6600342.55838022,1822690.55108973,77,161409,"ROOFERS MART OF SOUTHERN CALIFORNIA, INC.",PO BOX 428,817 FAIRWAY DRIVE,,WALNUT,CA,91788,2020/01/05 00:00:00+00,2021/12/06 00:00:00+00,Corporation,Contractors / Construction,Yes,Yes,Yes,No,Yes,District 1,SPA 3 - San Gabriel
6506289.47483322,1838986.4817524,78,199868,AMPARO OSTOJIC,AMPARO DISABILITY JUSTICE,810 GERAGHTY AVE,,LOS ANGELES,CA,90063-1724,2021/04/09 00:00:00+00,2023/04/30 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,No,No,Yes,District 1,SPA 7 - East
6447281.41273147,1846572.41015007,79,142476,BRIAN C CHUNG,PACIFIC COAST SECURITY SYSTEMS,8549 WILSHIRE BLVD STE 1155,,BEVERLY HILLS,CA,90211,2020/07/31 00:00:00+00,2022/07/31 00:00:00+00,Sole Proprietorships,Contractors / Construction,Yes,No,No,No,Yes,District 3,SPA 5 - West
6472294.43750846,1732957.15181673,80,109365,"T & M PROJECTS, INC.",DBA T & M CONSTRUCTION,780 W. CHANNEL ST.,,SAN PEDRO,CA,90731-1412,2019/09/13 00:00:00+00,2021/09/13 00:00:00+00,Corporation,Contractors / Construction,No,Yes,No,No,Yes,District 4,SPA 8 - South Bay
6483041.06463721,1840691.0665978,81,124955,KAL KRISHNAN CONSULTING,SERVICES INC.,"900 WILSHIRE BLVD., SUITE 1230",,LOS ANGELES,CA,90017,2019/08/09 00:00:00+00,2021/08/09 00:00:00+00,Corporation,Services,Yes,No,Yes,No,Yes,District 1,SPA 4 - Metro
6443492.57942988,1831623.5378169,82,151736,CHRISTINE HARDIN,PICKETT DESIGN ASSOCIATES,9020 LINDBLADE ST,,CULVER CITY,CA,90232,2021/01/24 00:00:00+00,2023/01/31 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 2,SPA 5 - West
6453856.93665388,1912529.89568889,83,121724,BARBERIO ENTERPRISES INC,WESTCO SERVICE,9691 SUNLAND BLVD,,SHADOW HILLS,CA,91040,2021/02/02 00:00:00+00,2023/02/28 00:00:00+00,,,No,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6489836.29218847,1877023.48474647,84,197009,ERICK AMIRKHANIAN,EXPOZME KLIKARTS PHOTOGRAPHY,1311 E CALIFORNIA AVE,APT 1,GLENDALE,CA,91206-6037,2020/07/22 00:00:00+00,2022/07/31 00:00:00+00,Sole Proprietorships,Services,Yes,No,No,No,Yes,District 5,SPA 2 - San Fernando
6512780.54420014,1769815.9094639,85,192393,LIPZNDNIPZ LLC,,5481 N PARAMOUNT BLVD,APT 107,LONG BEACH,CA,90805-5650,2019/10/15 00:00:00+00,2021/10/15 00:00:00+00,Limited Liability Company,Retail,Yes,Yes,No,No,Yes,District 4,SPA 8 - South Bay
6428493.19801138,1972641.78629164,86,199864,AVERCOM VIRTUAL SOLUTIONS,,27518 ROSA LN,APT 101,CANYON CNTRY,CA,91387-6818,2020/12/23 00:00:00+00,2022/12/31 00:00:00+00,Limited Liability Company,Services,Yes,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6473766.15634981,1862063.81912781,87,181397,"MAVEN INNOVATIVE CONSULTANCY, LLC",,2031 DRACENA DR,APT 114,LOS ANGELES,CA,90027-2678,2021/01/25 00:00:00+00,2022/12/31 00:00:00+00,Limited Liability Company,Services,Yes,No,Yes,No,Yes,District 5,SPA 4 - Metro
6469136.78699964,1845900.79010223,88,197296,TIST K ONE,,535 S HOBART BLVD,APT 113,LOS ANGELES,CA,90020-3700,2020/08/03 00:00:00+00,2022/08/31 00:00:00+00,Sole Proprietorships,Services,Yes,No,No,No,Yes,District 2,SPA 4 - Metro
6451703.18439972,1764095.40384457,89,190183,TAKAKO PROFIT,BLOSSOMY SOLUTIONS,21010 ANZA AVE,APT 20,TORRANCE,CA,90503-9032,2021/06/05 00:00:00+00,2023/04/30 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,Yes,No,Yes,District 4,SPA 8 - South Bay
6430613.13340405,1840227.9891119,90,194885,ALLISON PIETER,,1940 MALCOLM AVE,APT 204,LOS ANGELES,CA,90025-4738,2020/09/25 00:00:00+00,2022/03/18 00:00:00+00,Sole Proprietorships,Services,No,Yes,No,No,Yes,District 3,SPA 5 - West
